,pays,ddg_cluster
11,Bangladesh,1
15,Belize,1
12,Bolivie (État plurinational de),1
13,Botswana,1
21,Cabo Verde,1
79,Cambodge,1
28,Congo,1
46,Djibouti,1
40,El Salvador,1
140,Eswatini,1
52,Ghana,1
56,Guatemala,1
59,Haïti,1
60,Honduras,1
65,Inde,1
66,Indonésie,1
76,Jordanie,1
85,Lesotho,1
84,Liban,1
102,Namibie,1
109,Nicaragua,1
103,Népal,1
113,Pakistan,1
118,Philippines,1
22,République centrafricaine,1
80,République populaire démocratique de Corée,1
130,Sao Tomé-et-Principe,1
133,Sierra Leone,1
169,Soudan,1
23,Sri Lanka,1
138,Suriname,1
107,Vanuatu,1
123,Zimbabwe,1
38,Équateur,1
16,Îles Salomon,1
1,Afghanistan,2
4,Angola,2
157,Burkina Faso,2
33,Bénin,2
19,Cameroun,2
72,Côte d'Ivoire,2
49,Gambie,2
57,Guinée,2
121,Guinée-Bissau,2
68,Iraq,2
78,Kenya,2
86,Libéria,2
89,Madagascar,2
90,Malawi,2
100,Mozambique,2
110,Niger,2
111,Nigéria,2
153,Ouganda,2
125,Rwanda,2
145,République-Unie de Tanzanie,2
132,Sénégal,2
139,Tadjikistan,2
24,Tchad,2
122,Timor-Leste,2
147,Togo,2
163,Yémen,2
164,Zambie,2
161,Éthiopie,2
2,Albanie,3
50,Allemagne,3
6,Argentine,3
0,Arménie,3
7,Australie,3
8,Autriche,3
165,Belgique,3
51,Bosnie-Herzégovine,3
14,Brésil,3
37,Bélarus,3
20,Canada,3
61,Chine - RAS de Hong-Kong,3
88,Chine - RAS de Macao,3
26,"Chine, continentale",3
63,Croatie,3
30,Cuba,3
34,Danemark,3
137,Espagne,3
41,Estonie,3
43,Finlande,3
44,France,3
126,Fédération de Russie,3
54,Grèce,3
62,Hongrie,3
69,Irlande,3
64,Islande,3
70,Israël,3
71,Italie,3
73,Kazakhstan,3
83,Lettonie,3
87,Lituanie,3
166,Luxembourg,3
94,Malte,3
96,Maurice,3
97,Mexique,3
168,Monténégro,3
112,Norvège,3
108,Nouvelle-Zélande,3
104,Pays-Bas,3
119,Pologne,3
45,Polynésie française,3
120,Portugal,3
124,Roumanie,3
154,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,3
81,République de Corée,3
134,Slovénie,3
142,Suisse,3
141,Suède,3
115,Tchéquie,3
156,États-Unis d'Amérique,3
5,Antigua-et-Barbuda,4
9,Bahamas,4
10,Barbade,4
17,Bulgarie,4
144,"Chine, Taiwan Province de",4
31,Chypre,4
35,Dominique,4
42,Fidji,4
55,Grenade,4
58,Guyana,4
47,Géorgie,4
74,Jamaïque,4
75,Japon,4
106,Macédoine du Nord,4
98,Mongolie,4
18,Myanmar,4
105,Nouvelle-Calédonie,4
116,Paraguay,4
101,République de Moldova,4
36,République dominicaine,4
127,Saint-Kitts-et-Nevis,4
129,Saint-Vincent-et-les Grenadines,4
128,Sainte-Lucie,4
162,Samoa,4
167,Serbie,4
135,Slovaquie,4
146,Thaïlande,4
148,Trinité-et-Tobago,4
155,Ukraine,4
158,Uruguay,4
159,Venezuela (République bolivarienne du),4
136,Afrique du Sud,5
3,Algérie,5
131,Arabie saoudite,5
32,Azerbaïdjan,5
25,Chili,5
27,Colombie,5
29,Costa Rica,5
48,Gabon,5
67,Iran (République islamique d'),5
77,Kirghizistan,5
53,Kiribati,5
82,Koweït,5
91,Malaisie,5
92,Maldives,5
93,Mali,5
99,Maroc,5
95,Mauritanie,5
149,Oman,5
114,Panama,5
117,Pérou,5
150,Tunisie,5
143,Turkménistan,5
151,Turquie,5
160,Viet Nam,5
39,Égypte,5
152,Émirats arabes unis,5
